"","hit","worker","seconds","image","age","born","died","findings","group","study","comments"
"11","3GL25Y6843UZX83DD5WBHFRAKIRXMY","AU5Y7J1PF0UIT",72,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F28pdf.png",5714,"11/12/1962","7/5/1978","chronic glomerulonephritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"12","3GL25Y6843UZX83DD5WBHFRAKIRXMY","A1ET2J1PIP0RGO",2018,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F28pdf.png",5714,"11/12/1962","7/5/1978","chronic glomerulonephritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"13","362E9TQF2HQ2F3IW3GYF10KY0KCIGE","A2APPZDU0VS9LN",139,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F36pdf.png",5430,"3/12/1964","1/23/1979","sacrificed","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"14","362E9TQF2HQ2F3IW3GYF10KY0KCIGE","A18TCR555RWUZV",1549,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F36pdf.png",5430,"3/12/1964","1/23/1979","sacrificed (bcg)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"15","362E9TQF2HQ2F3IW3GYF10KY0KCIGE","A1TM1ZFU4OIPTD",128,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F36pdf.png",5430,"3/12/1965","1/23/1979","sacrificed (bcg)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"16","3PIOQ99R7YMDYMUIK10OANH6VRLNUZ","AO0CQ0WT4FT7T",44,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F37pdf.png",6383,"3/12/1964","9/2/1981","chronic progressive polyarthritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"17","3PIOQ99R7YMDYMUIK10OANH6VRLNUZ","A2VRQML8Q3XYP4",56,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F37pdf.png",6383,"3/12/1964","9/2/1981","chronic progressive polyarthritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"18","3PIOQ99R7YMDYMUIK10OANH6VRLNUZ","ARX0S1CIDJLOX",842,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F37pdf.png",6383,"3/12/1964","9/2/1981","chronic progressive polyarthritis","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"19","3QQUBC64ZEE5FQODP6BBUUGAP81XNY","A3RYI5HXC2MJLN",2805,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F38pdf.png",1386,"3/12/1964","12/28/1967","removed 12/27/67: positive d. immitis test, removed from study","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"20","3QQUBC64ZEE5FQODP6BBUUGAP81XNY","A3HSMUPSPOKD0M",146,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F38pdf.png",1386,"3/12/1964","12/28/1967","removed 12/27/67: positive d. immitis test, removed from study","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"21","3QQUBC64ZEE5FQODP6BBUUGAP81XNY","A1102MP1CZI32V",110,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F38pdf.png",1386,"3/12/1964","12/28/1967","removed 12/27/67: positive d. immitis test, removed from study","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"22","371DNNCG442DV2SPEULVNU59NIFT8Q","A25CAT0W9W97Z8",122,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F39pdf.png",0,"3/12/1964","3/12/1964","","","","{}"
"23","371DNNCG442DV2SPEULVNU59NIFT8Q","A177EXELDLWTWV",1928,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F39pdf.png",4,"3/12/1964","3/16/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"24","371DNNCG442DV2SPEULVNU59NIFT8Q","A2MCG5W6LHSRG9",83,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F39pdf.png",4,"3/12/1964","3/16/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"25","3KG2UQJ0MJOL6TN13SGJ0MKHS6FQNX","AZ4NM6ZXTGT0",883,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F40pdf.png",5433,"3/12/1964","1/26/1979","metastatic mammory carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"26","3KG2UQJ0MJOL6TN13SGJ0MKHS6FQNX","A2APPZDU0VS9LN",684,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F40pdf.png",5433,"3/12/1964","1/26/1970","metaststic mammary carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"27","3KG2UQJ0MJOL6TN13SGJ0MKHS6FQNX","ADJ9I7ZBFYFH7",89,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F40pdf.png",5433,"3/12/1964","1/26/1979","metastatic mammary carcinoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"28","3D4BBDG7ZHWA8OK8GRV973XUJAN3CP","A2R0YYUAWNT7UD",2712,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F41pdf.png",2,"3/31/1964","4/2/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"29","3D4BBDG7ZHWA8OK8GRV973XUJAN3CP","A9KPCMO1J1LQF",481,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F41pdf.png",2,"3/31/1964","4/2/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","findings not present"
"30","3D4BBDG7ZHWA8OK8GRV973XUJAN3CP","ARX0S1CIDJLOX",1517,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F41pdf.png",2,"3/31/1964","4/2/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","Findings field is blank."
"31","3CO05SML7V5IXYAUF13LU0Y9GZ60RX","A2BKLF1MNZ3L4X",235,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F42pdf.png",3485,"3/31/1964","10/15/1973","lymphosarcoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"32","3CO05SML7V5IXYAUF13LU0Y9GZ60RX","A3ITZNJQUTIZ4C",76,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F42pdf.png",3485,"3/31/1964","10/15/1973","lymphosarcoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"33","3CO05SML7V5IXYAUF13LU0Y9GZ60RX","ABOEYY9Y0PFRI",143,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F42pdf.png",3485,"3/31/1964","10/15/1973","lymphosarooma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"34","3P6ENY9P79WGFZD7NMGXM0WZFKPIHD","A1G94QON7A9K0N",144,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F46pdf.png",4029,"4/26/1964","5/8/1975","idiopathic epilepsy","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"35","3P6ENY9P79WGFZD7NMGXM0WZFKPIHD","A3PIAHR6PGXZNT",98,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F46pdf.png",4029,"4/26/1964","5/8/1975","idiopathic epilepsy","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"36","3P6ENY9P79WGFZD7NMGXM0WZFKPIHD","A9KPCMO1J1LQF",248,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F46pdf.png",4029,"4/26/1964","5/8/1975","idiopathic epilepsy","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"37","3Y3CZJSZ9KTHS5WVC79XBVU0X7H5RN","A3HSMUPSPOKD0M",53,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F47pdf.png",5514,"4/26/1964","6/1/1979","congestive heart failure","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"38","3Y3CZJSZ9KTHS5WVC79XBVU0X7H5RN","A1102MP1CZI32V",47,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F47pdf.png",5514,"4/26/1964","6/1/1979","congestive heart failure","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"39","3Y3CZJSZ9KTHS5WVC79XBVU0X7H5RN","AO0CQ0WT4FT7T",35,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F47pdf.png",5514,"4/26/1964","6/1/1979","congestive heart failure","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"40","3FCO4VKOZ4D76559EU4UA89D9OME7Y","A2R0YYUAWNT7UD",81,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F4820231pdf.png",4894,"4/26/1964","9/19/1977","congestive heart failure (ruptured chordae tendinae)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"41","3FCO4VKOZ4D76559EU4UA89D9OME7Y","A2VRQML8Q3XYP4",81,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F4820231pdf.png",4894,"4/26/1964","9/19/1977","congestive heart failure (ruptured chordae, tendinae)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"42","3FCO4VKOZ4D76559EU4UA89D9OME7Y","ARLSOH5YMGJGN",1759,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05F4820231pdf.png",4894,"4/26/1964","9/19/1977","congestive heart failure (ruptured chordae, tendinae)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"43","3KTZHH2ONIF9I7255XKJ1GAHTAJ8M4","A2W547SNOCMC25",63,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M26pdf.png",4401,"9/10/1962","10/8/1974","lymphocarcoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"44","3KTZHH2ONIF9I7255XKJ1GAHTAJ8M4","A25WNYPSSDNEVE",189,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M26pdf.png",4401,"9/20/1962","10/8/1974","lymphocarcoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"45","3KTZHH2ONIF9I7255XKJ1GAHTAJ8M4","A2BKLF1MNZ3L4X",710,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M26pdf.png",4401,"9/20/1962","10/8/1974","lymphocarcoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"46","3EAWOID6MTXAQ5RBOL8VVXNC14IV0I","A2MCG5W6LHSRG9",160,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M27pdf.png",2416,"9/20/1962","5/2/1969","granulomatous encephalitis (idiopathic)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"47","3EAWOID6MTXAQ5RBOL8VVXNC14IV0I","A7TP8TTJ88Y0R",112,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M27pdf.png",2416,"9/20/1962","5/2/1969","granulomatous encephalitis (idiopathic)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"48","3EAWOID6MTXAQ5RBOL8VVXNC14IV0I","A1839Q9KHT9QG2",567,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M27pdf.png",2416,"9/20/1962","5/2/1969","granulomatous encephalitis (idiopathic)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","It is a good job."
"49","3T8DUCXY0N6D97BZJMR9NQ0K7OXT9F","AG0X3PQK2FWQJ",2329,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M29pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"50","3T8DUCXY0N6D97BZJMR9NQ0K7OXT9F","ADJ9I7ZBFYFH7",53,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M29pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"51","3T8DUCXY0N6D97BZJMR9NQ0K7OXT9F","A2RYRS301XIZZD",259,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M29pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"52","3R6RZGK0XFC7N0NWWTJ4NPHWDIYYVP","ARLSOH5YMGJGN",1801,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M30pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"53","3R6RZGK0XFC7N0NWWTJ4NPHWDIYYVP","A25WNYPSSDNEVE",626,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M30pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"54","3R6RZGK0XFC7N0NWWTJ4NPHWDIYYVP","ARQ9DY4UL4WJ4",1855,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M30pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"55","3TTPFEFXCTK0MFI6LL78PX6U6TV6H8","AZ4NM6ZXTGT0",1064,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M31pdf.png",1876,"11/12/1962","1/1/1968","clostridial septicemia","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"56","3TTPFEFXCTK0MFI6LL78PX6U6TV6H8","AO0CQ0WT4FT7T",798,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M31pdf.png",1876,"11/12/1962","1/1/1968","clostridial septicemia","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"57","3TTPFEFXCTK0MFI6LL78PX6U6TV6H8","A150CIC6SJN8JC",2954,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M31pdf.png",1876,"11/12/1962","1/1/1968","clostridial septicemia","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"58","302U8RURJZ1DB1JIPRAT69JP9YUNVO","A3ITZNJQUTIZ4C",64,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M32pdf.png",44,"11/21/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"59","302U8RURJZ1DB1JIPRAT69JP9YUNVO","A3IA77UHAVA83X",1271,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M32pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"60","302U8RURJZ1DB1JIPRAT69JP9YUNVO","AJVGW8ZY3SWE4",433,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M32pdf.png",44,"11/12/1962","12/26/1962","not available","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"61","3WKGUBL7SZMOTOXITITRKRFNRJXL48","A1TM1ZFU4OIPTD",1661,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M33pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"62","3WKGUBL7SZMOTOXITITRKRFNRJXL48","A2APPZDU0VS9LN",257,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M33pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"63","3WKGUBL7SZMOTOXITITRKRFNRJXL48","A2R0YYUAWNT7UD",44,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M33pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"64","3UXQ63NLAAM8ENIR8X3ES5LT1BEBL4","A110KENBXU7SUJ",22,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M34pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"65","3UXQ63NLAAM8ENIR8X3ES5LT1BEBL4","AYG3MF094634L",39,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M34pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"66","3UXQ63NLAAM8ENIR8X3ES5LT1BEBL4","A2HR7ZIX42FEPG",51,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M34pdf.png",0,"10/23/1963","10/23/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"67","3YZ7A3YHR5TTTKW8RW9215ZWJ905SB","A25WNYPSSDNEVE",781,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M35pdf.png",41,"10/23/1963","12/3/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"68","3YZ7A3YHR5TTTKW8RW9215ZWJ905SB","ADJ9I7ZBFYFH7",424,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M35pdf.png",41,"10/23/1963","12/3/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"69","3YZ7A3YHR5TTTKW8RW9215ZWJ905SB","A2RYRS301XIZZD",259,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M35pdf.png",41,"10/23/1963","12/3/1963","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"70","3NSM4HLQNRU69Q0TJK804GFMXH2QQK","AG0X3PQK2FWQJ",1176,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M43pdf.png",5013,"3/31/1964","12/21/1977","cholethiasis (bile duct obstruction)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"71","3NSM4HLQNRU69Q0TJK804GFMXH2QQK","A149ROBL26JWPJ",1275,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M43pdf.png",5013,"3/31/1964","12/21/1977","cholethiasis (bile duct obstruction)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"72","3NSM4HLQNRU69Q0TJK804GFMXH2QQK","A25WNYPSSDNEVE",1001,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M43pdf.png",5013,"3/31/1964","12/21/1977","cholethiasis (bile duct obstruction)","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"73","3BC9H1KCYUCK2PN1M3O09R0AKR0YWZ","ABM77ZQWCHPNX",1330,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M44pdf.png",6036,"3/31/1964","10/9/1980","metastatic pheochromocytoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"74","3BC9H1KCYUCK2PN1M3O09R0AKR0YWZ","A2460MAJX0NA82",663,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M44pdf.png",6036,"3/31/1964","10/9/1980","metastatic pheochromocytoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"75","3BC9H1KCYUCK2PN1M3O09R0AKR0YWZ","A9KPCMO1J1LQF",487,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M44pdf.png",6036,"3/31/1964","10/9/1980","metastatic pheochromocytoma","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"76","3HYV4299H0WB6JASOZW0O858K8SE8L","A149ROBL26JWPJ",801,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M45pdf.png",0,"3/31/1964","3/31/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","Findings field is blank"
"77","3HYV4299H0WB6JASOZW0O858K8SE8L","A25CAT0W9W97Z8",277,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M45pdf.png",0,"3/31/1964","3/31/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"78","3HYV4299H0WB6JASOZW0O858K8SE8L","A3KCWV8TW3Q71L",32,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M45pdf.png",0,"3/31/1964","3/31/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"79","3UYRNV2KITZF0PN5HYZJEVZHY0T8N4","A31O5XYX80XD21",1120,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M4920231pdf.png",3981,"4/26/1964","3/21/1975","pituitary carcinoma; obs: neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"80","3UYRNV2KITZF0PN5HYZJEVZHY0T8N4","ANUXUJE8QRE0C",82,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M4920231pdf.png",3981,"4/26/1964","3/21/1975","pituitary carcinoma; obs: neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"81","3UYRNV2KITZF0PN5HYZJEVZHY0T8N4","A32QBXDPHHSTOD",2266,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000264D05M4920231pdf.png",3981,"4/26/1964","3/21/1975","pituitary carcinoma; obs: neoplasm was adjacent to bone","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
"82","31SIZS5W59F6LRFTWZX096PRT34QRL","AR20RBERHIPN8",53,"https://dl.dropboxusercontent.com/u/1131693/ucdavis/good/D000265D05F5120231pdf.png",1,"6/4/1964","6/5/1964","","2 1 uci/kg total ingested with food (in-utero to 540 days)","2 davis-1961 strontium-90, dietary","{}"
