"","study","group","age","born","died","findings","autopsy"
"41","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4956","6/4/1964","12/29/1977","chronic prostatitis (urethral obstruction)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M59%20%231.pdf"
"42","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","7/2/1964","7/3/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M62%20%231.pdf"
"43","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","1","7/2/1964","7/3/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M63%20%231.pdf"
"44","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6410","7/2/1964","1/19/1982","hepatic atrophy","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M64%20%231.pdf"
"45","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4843","7/31/1964","11/3/1977","metastatic bronchogenic carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M66%20%231.pdf"
"46","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4836","7/31/1964","10/27/1977","lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M67%20%231.pdf"
"47","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4966","9/11/1965","4/17/1979","adamantinoma; obs: neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M70%20%231.pdf"
"48","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","649","9/11/1965","6/22/1967","accidental death (anesthetic death - for whole body counting)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/D05M71%20%231.pdf"
"49","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4857","9/11/1965","12/29/1978","metastatic malignant melanoma lip","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/DO5F68%20%231.pdf"
"50","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5288","9/11/1965","3/4/1980","congestive heart failure","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000265/DO5M69%231.pdf"
"51","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5011","9/28/1965","6/18/1979","metastatic mammary carcinoma/congestive heart failure","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F73%20%231.pdf"
"52","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4585","9/28/1965","4/18/1978","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F74%20%231.pdf"
"53","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6315","9/28/1965","1/12/1983","myelopathy (intervertebral disc disease)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F76%20%231.pdf"
"54","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/4/1966","3/4/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F80%20%231.pdf"
"55","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","33","3/4/1966","4/6/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F81%20%231.pdf"
"56","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5732","9/17/1966","5/28/1982","myelopathy (intervertebral disc disease)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F85%20%231.pdf"
"57","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5499","9/17/1966","10/7/1981","metastatic pancreatic adenocarcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F86%20%231.pdf"
"58","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5199","12/21/1966","3/16/1981","acute bronchopneumonia","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05F92%20%231.pdf"
"59","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/4/1966","3/4/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M82%20%231.pdf"
"60","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","2","3/4/1966","3/6/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/d05m83%20%231.pdf"
"61","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","9/17/1966","9/17/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M84%20%231.pdf"
"62","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4","9/17/1966","9/21/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M87%20%231.pdf"
"63","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4037","9/17/1966","10/6/1977","glomerular amyloidosis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M88%20%231.pdf"
"64","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6300","9/17/1966","12/17/1983","foot infection with toxemia & disseminated intravascular coagulopathy","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M89%20%231.pdf"
"65","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5798","9/17/1966","8/2/1982","myelopathy (intervertebral disc disease)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M90%20%231.pdf"
"66","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5719","9/17/1966","5/15/1982","prostatic abscess/peritonitis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M91%20%231.pdf"
"67","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5422","12/21/1966","10/25/1981","disseminated myocardial hemangiosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M93%20%231.pdf"
"68","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4172","12/21/1966","5/24/1978","suppurative prostatitis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M94%20%231.pdf"
"69","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6389","12/21/1966","6/18/1984","lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M95%20%20%231.pdf"
"70","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6245","12/21/1966","1/26/1984","chronic pyelonephritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05M96%20%231.pdf"
"71","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","11","12/23/1966","1/3/1967","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05X01%20%231.pdf"
"72","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4350","12/23/1966","11/20/1978","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/D05X02%20%231.pdf"
"73","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4111","9/28/1965","12/30/1976","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/DO5F75%20%231.pdf"
"74","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/4/1966","3/4/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/DO5F78%20%231.pdf"
"75","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/4/1966","3/4/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/DO5F79%20%20%231.pdf"
"76","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","433","9/28/1965","12/5/1966","peritonitis (trauma)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000266/DO5M77%20%231.pdf"
"77","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6164","12/23/1966","11/8/1983","chronic severe pyelonephritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X03.pdf"
"78","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6032","12/23/1966","6/29/1983","chronic pyelonephritis/nephrosclerosis; terminated 3/26/79: not available; amputation 3/26/79, removed","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X04.pdf"
"79","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4885","12/23/1966","5/8/1980","myelopathy (intervertebral disc disease)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X05.pdf"
"80","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5276","3/16/1967","8/25/1981","metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X08.pdf"
"81","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4452","3/16/1967","5/24/1979","fibrosarcoma oral cavatiy & zygomatic bone; obs: neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X09.pdf"
"82","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","8/22/1967","8/22/1967","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05X12.pdf"
"83","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5411","12/23/1966","10/16/1981","metastatic oral malignant melanoma; obs: neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y06.pdf"
"84","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5416","12/23/1966","10/21/1981","metastatic renal carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y07.pdf"
"85","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","0","3/16/1967","3/16/1967","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y10.pdf"
"86","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4712","3/16/1967","2/8/1980","chronic interstitial pneumonia/arteriosclerosis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y11.pdf"
"87","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5770","8/22/1967","6/9/1983","metastatic adrenal cortical carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y14.pdf"
"88","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","4123","8/22/1967","12/5/1978","granulomatous enteritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y15.pdf"
"89","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","6764","8/22/1967","2/27/1986","suppurative hepatitis (hepatic abscess)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y16.pdf"
"90","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5811","8/22/1967","7/20/1983","hepatocellular carcinoma/liver failure","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D05Y17.pdf"
"91","2 davis-1961 strontium-90, dietary","2 1 uci/kg total ingested with food (in-utero to 540 days)","5825","8/22/1967","8/3/1983","undetermined","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000267/D0Y13.pdf"
