Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1005-33-1|n/a,n/a|1|84|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|208 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|n/a|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-9|n/a,n/a|1|84|Pu-239 dioxide|170|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-9|n/a,n/a|2|84|beryllium|150|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-10|n/a,n/a|1|84|beryllium|450|micrograms|Inhalation|n/a|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-11|n/a,n/a|1|84|Pu-239 dioxide|60|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-11|n/a,n/a|2|84|beryllium|450|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-12|n/a,n/a|1|84|Pu-239 dioxide|170|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-12|n/a,n/a|2|84|beryllium|450|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-13|n/a,n/a|1|84|shamexposed|0|becquerels initial or established lung burden|Inhalation|sham exposure|270 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-14|n/a,n/a|1|84|Pu-239 dioxide|230|becquerels initial or established lung burden|Inhalation|initial lung burden|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-15|n/a,n/a|1|84|Pu-239 dioxide|460|becquerels initial or established lung burden|Inhalation|initial lung burden|156 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-16|n/a,n/a|1|84|beryllium|0.1|micrograms|Inhalation|n/a|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-17|n/a,n/a|1|84|beryllium|1|micrograms|Inhalation|n/a|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-18|n/a,n/a|1|84|Pu-239 dioxide|230|becquerels initial or established lung burden|Inhalation|initial lung burden|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-18|n/a,n/a|2|84|beryllium|1|micrograms|Inhalation|1 day after Pu exposure|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-19|n/a,n/a|1|84|beryllium|3|micrograms|Inhalation|initial lung burden|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-20|n/a,n/a|1|84|beryllium|10|micrograms|Inhalation|1 d after Pu exposure|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-21|n/a,n/a|1|84|Pu-239 dioxide|230|becquerels initial or established lung burden|Inhalation|initial lung burden|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-21|n/a,n/a|2|84|beryllium|10|micrograms|Inhalation|1 d after Pu exposure|288 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-22|n/a,n/a|1|84|beryllium|50|micrograms|Inhalation|n/a|156 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Phase II Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
