"o","l","source","analysis"
-1.22,3.35011657793674e-06,"LSS likelihood","original"
-1.21,3.43591224828887e-06,"LSS likelihood","original"
-1.2,3.53244692548166e-06,"LSS likelihood","original"
-1.19,3.64067192350599e-06,"LSS likelihood","original"
-1.18,3.76165923727945e-06,"LSS likelihood","original"
-1.17,3.8966173980884e-06,"LSS likelihood","original"
-1.16,4.04690960461258e-06,"LSS likelihood","original"
-1.15,4.21407447406775e-06,"LSS likelihood","original"
-1.14,4.39984981198375e-06,"LSS likelihood","original"
-1.13,4.60619986174435e-06,"LSS likelihood","original"
-1.12,4.83534656763965e-06,"LSS likelihood","original"
-1.11,5.08980546942334e-06,"LSS likelihood","original"
-1.1,5.37242694408472e-06,"LSS likelihood","original"
-1.09,5.68644362388833e-06,"LSS likelihood","original"
-1.08,6.03552495118347e-06,"LSS likelihood","original"
-1.07,6.42383998291362e-06,"LSS likelihood","original"
-1.06,6.85612973446563e-06,"LSS likelihood","original"
-1.05,7.33779055730698e-06,"LSS likelihood","original"
-1.04,7.87497028215192e-06,"LSS likelihood","original"
-1.03,8.47467913422022e-06,"LSS likelihood","original"
-1.02,9.14491774529337e-06,"LSS likelihood","original"
-1.01,9.89482495537172e-06,"LSS likelihood","original"
-1,1.07348485223824e-05,"LSS likelihood","original"
-0.99,1.16769423502574e-05,"LSS likelihood","original"
-0.98,1.27347944136786e-05,"LSS likelihood","original"
-0.97,1.39240902131151e-05,"LSS likelihood","original"
-0.96,1.52628173492234e-05,"LSS likelihood","original"
-0.95,1.67716176756784e-05,"LSS likelihood","original"
-0.94,1.84741944903617e-05,"LSS likelihood","original"
-0.93,2.03977833748947e-05,"LSS likelihood","original"
-0.92,2.25736966123427e-05,"LSS likelihood","original"
-0.91,2.50379526255133e-05,"LSS likelihood","original"
-0.9,2.78320036092128e-05,"LSS likelihood","original"
-0.89,3.10035765074288e-05,"LSS likelihood","original"
-0.88,3.46076447419033e-05,"LSS likelihood","original"
-0.87,3.8707550666124e-05,"LSS likelihood","original"
-0.86,4.33763016356451e-05,"LSS likelihood","original"
-0.85,4.86980658920121e-05,"LSS likelihood","original"
-0.84,5.47698981964781e-05,"LSS likelihood","original"
-0.83,6.17037293667326e-05,"LSS likelihood","original"
-0.82,6.96286586127597e-05,"LSS likelihood","original"
-0.81,7.86935928858369e-05,"LSS likelihood","original"
-0.8,8.90702833973177e-05,"LSS likelihood","original"
-0.79,0.000100956816080167,"LSS likelihood","original"
-0.78,0.000114581620102934,"LSS likelihood","original"
-0.77,0.000130208066645123,"LSS likelihood","original"
-0.76,0.000148139739040035,"LSS likelihood","original"
-0.75,0.000168726465110765,"LSS likelihood","original"
-0.74,0.000192371213078034,"LSS likelihood","original"
-0.73,0.000219537963796069,"LSS likelihood","original"
-0.72,0.000250760684241886,"LSS likelihood","original"
-0.71,0.00028665354007917,"LSS likelihood","original"
-0.7,0.000327922498636843,"LSS likelihood","original"
-0.69,0.00037537848763232,"LSS likelihood","original"
-0.68,0.000429952289220792,"LSS likelihood","original"
-0.67,0.000492711363185645,"LSS likelihood","original"
-0.66,0.000564878806941726,"LSS likelihood","original"
-0.65,0.000647854673048592,"LSS likelihood","original"
-0.64,0.000743239876564665,"LSS likelihood","original"
-0.63,0.000852862934133342,"LSS likelihood","original"
-0.62,0.000978809783363608,"LSS likelihood","original"
-0.61,0.00112345693388973,"LSS likelihood","original"
-0.6,0.00128950819935129,"LSS likelihood","original"
-0.59,0.00148003525114875,"LSS likelihood","original"
-0.58,0.00169852221876029,"LSS likelihood","original"
-0.57,0.00194891453605411,"LSS likelihood","original"
-0.56,0.0022356721966519,"LSS likelihood","original"
-0.55,0.00256382753212711,"LSS likelihood","original"
-0.54,0.00293904756270202,"LSS likelihood","original"
-0.53,0.00336770088915158,"LSS likelihood","original"
-0.52,0.00385692899486888,"LSS likelihood","original"
-0.51,0.0044147217066577,"LSS likelihood","original"
-0.5,0.00504999642017161,"LSS likelihood","original"
-0.49,0.00577268052975289,"LSS likelihood","original"
-0.48,0.00659379631197109,"LSS likelihood","original"
-0.47,0.00752554729732677,"LSS likelihood","original"
-0.46,0.00858140492612703,"LSS likelihood","original"
-0.45,0.00977619402427257,"LSS likelihood","original"
-0.44,0.0111261753556781,"LSS likelihood","original"
-0.43,0.0126491232147994,"LSS likelihood","original"
-0.42,0.0143643957213955,"LSS likelihood","original"
-0.41,0.0162929951781222,"LSS likelihood","original"
-0.4,0.018457615559611,"LSS likelihood","original"
-0.39,0.0208826739309863,"LSS likelihood","original"
-0.38,0.0235943223578047,"LSS likelihood","original"
-0.37,0.0266204366832706,"LSS likelihood","original"
-0.36,0.0299905784287683,"LSS likelihood","original"
-0.35,0.0337359260375884,"LSS likelihood","original"
-0.34,0.0378891717468586,"LSS likelihood","original"
-0.33,0.0424843805562892,"LSS likelihood","original"
-0.32,0.047556808080219,"LSS likelihood","original"
-0.31,0.0531426745350327,"LSS likelihood","original"
-0.3,0.0592788927372521,"LSS likelihood","original"
-0.29,0.0660027487738013,"LSS likelihood","original"
-0.28,0.0733515349546446,"LSS likelihood","original"
-0.27,0.0813621357619846,"LSS likelihood","original"
-0.26,0.0900705687546264,"LSS likelihood","original"
-0.25,0.0995114837479037,"LSS likelihood","original"
-0.24,0.109717625037267,"LSS likelihood","original"
-0.23,0.12071926292754,"LSS likelihood","original"
-0.22,0.132543602322783,"LSS likelihood","original"
-0.21,0.145214177570154,"LSS likelihood","original"
-0.2,0.158750244077066,"LSS likelihood","original"
-0.19,0.173166178374026,"LSS likelihood","original"
-0.18,0.188470899215769,"LSS likelihood","original"
-0.17,0.204667322944101,"LSS likelihood","original"
-0.16,0.221751866626957,"LSS likelihood","original"
-0.15,0.239714012399128,"LSS likelihood","original"
-0.14,0.258535945932459,"LSS likelihood","original"
-0.13,0.278192281043955,"LSS likelihood","original"
-0.12,0.298649881112436,"LSS likelihood","original"
-0.11,0.319867786239031,"LSS likelihood","original"
-0.1,0.341797252993048,"LSS likelihood","original"
-0.09,0.364381911188135,"LSS likelihood","original"
-0.08,0.387558039505175,"LSS likelihood","original"
-0.07,0.411254959001378,"LSS likelihood","original"
-0.06,0.435395540711316,"LSS likelihood","original"
-0.05,0.459896820752331,"LSS likelihood","original"
-0.04,0.484670713690402,"LSS likelihood","original"
-0.03,0.509624812496154,"LSS likelihood","original"
-0.02,0.534663261307908,"LSS likelihood","original"
-0.01,0.559687685491299,"LSS likelihood","original"
0,0.584598162198288,"LSS likelihood","original"
0.01,0.60929421382042,"LSS likelihood","original"
0.02,0.63367580642001,"LSS likelihood","original"
0.03,0.657644335407085,"LSS likelihood","original"
0.04,0.681103581389359,"LSS likelihood","original"
0.05,0.703960620219394,"LSS likelihood","original"
0.06,0.726126672745081,"LSS likelihood","original"
0.07,0.747517881572673,"LSS likelihood","original"
0.08,0.768056004203007,"LSS likelihood","original"
0.09,0.78766901412428,"LSS likelihood","original"
0.1,0.806291603760507,"LSS likelihood","original"
0.11,0.823865585507236,"LSS likelihood","original"
0.12,0.840340189364631,"LSS likelihood","original"
0.13,0.855672257838823,"LSS likelihood","original"
0.14,0.869826340772377,"LSS likelihood","original"
0.15,0.882774694539575,"LSS likelihood","original"
0.16,0.894497191571357,"LSS likelihood","original"
0.17,0.904981147436318,"LSS likelihood","original"
0.18,0.914221073689808,"LSS likelihood","original"
0.19,0.922218365412097,"LSS likelihood","original"
0.2,0.92898093279879,"LSS likelihood","original"
0.21,0.934522786358169,"LSS likelihood","original"
0.22,0.93886358523368,"LSS likelihood","original"
0.23,0.942028157931598,"LSS likelihood","original"
0.24,0.944046004323983,"LSS likelihood","original"
0.25,0.944950787245539,"LSS likelihood","original"
0.26,0.94477982134149,"LSS likelihood","original"
0.27,0.943573566081256,"LSS likelihood","original"
0.28,0.941375129058568,"LSS likelihood","original"
0.29,0.938229784877535,"LSS likelihood","original"
0.3,0.934184514099491,"LSS likelihood","original"
0.31,0.929287565916271,"LSS likelihood","original"
0.32,0.92358804743849,"LSS likelihood","original"
0.33,0.917135541755274,"LSS likelihood","original"
0.34,0.909979756244356,"LSS likelihood","original"
0.35,0.902170201995928,"LSS likelihood","original"
0.36,0.893755904663719,"LSS likelihood","original"
0.37,0.884785146575099,"LSS likelihood","original"
0.38,0.875305239517952,"LSS likelihood","original"
0.39,0.8653623272745,"LSS likelihood","original"
0.4,0.855001216687753,"LSS likelihood","original"
0.41,0.844265235821224,"LSS likelihood","original"
0.42,0.833196117602076,"LSS likelihood","original"
0.43,0.821833907216847,"LSS likelihood","original"
0.44,0.810216891452138,"LSS likelihood","original"
0.45,0.798381548134396,"LSS likelihood","original"
0.46,0.786362513818051,"LSS likelihood","original"
0.47,0.774192567894527,"LSS likelihood","original"
0.48,0.76190263134123,"LSS likelihood","original"
0.49,0.74952177839487,"LSS likelihood","original"
0.5,0.737077259513516,"LSS likelihood","original"
0.51,0.724594534082695,"LSS likelihood","original"
0.52,0.712097311419562,"LSS likelihood","original"
0.53,0.69960759873258,"LSS likelihood","original"
0.54,0.687145754800241,"LSS likelihood","original"
0.55,0.674730548238495,"LSS likelihood","original"
0.56,0.662379219331623,"LSS likelihood","original"
0.57,0.650107544503464,"LSS likelihood","original"
0.58,0.63792990260431,"LSS likelihood","original"
0.59,0.625859342282564,"LSS likelihood","original"
0.6,0.613907649798812,"LSS likelihood","original"
0.61,0.602085416722705,"LSS likelihood","original"
0.62,0.59040210703014,"LSS likelihood","original"
0.63,0.578866123189094,"LSS likelihood","original"
0.64,0.567484870887497,"LSS likelihood","original"
0.65,0.556264822115569,"LSS likelihood","original"
0.66,0.545211576368466,"LSS likelihood","original"
0.67,0.534329919783035,"LSS likelihood","original"
0.68,0.523623882065135,"LSS likelihood","original"
0.69,0.513096791101915,"LSS likelihood","original"
0.7,0.502751325186696,"LSS likelihood","original"
0.71,0.492589562813213,"LSS likelihood","original"
0.72,0.482613030021122,"LSS likelihood","original"
0.73,0.472822745296367,"LSS likelihood","original"
0.74,0.463219262048313,"LSS likelihood","original"
0.75,0.453802708701167,"LSS likelihood","original"
0.76,0.444572826449884,"LSS likelihood","original"
0.77,0.435529004741424,"LSS likelihood","original"
0.78,0.426670314550517,"LSS likelihood","original"
0.79,0.417995539525707,"LSS likelihood","original"
0.8,0.409503205086445,"LSS likelihood","original"
0.81,0.401191605555419,"LSS likelihood","original"
0.82,0.39305882941273,"LSS likelihood","original"
0.83,0.38510278275972,"LSS likelihood","original"
0.84,0.377321211080636,"LSS likelihood","original"
0.85,0.369711719389816,"LSS likelihood","original"
0.86,0.362271790851199,"LSS likelihood","original"
0.87,0.354998803955192,"LSS likelihood","original"
0.88,0.347890048336031,"LSS likelihood","original"
0.89,0.340942739310367,"LSS likelihood","original"
0.9,0.334154031215166,"LSS likelihood","original"
0.91,0.327521029620214,"LSS likelihood","original"
0.92,0.321040802487452,"LSS likelihood","original"
0.93,0.314710390346369,"LSS likelihood","original"
0.94,0.308526815551444,"LSS likelihood","original"
0.95,0.302487090684531,"LSS likelihood","original"
0.96,0.296588226161853,"LSS likelihood","original"
0.97,0.290827237102186,"LSS likelihood","original"
0.98,0.285201149509715,"LSS likelihood","original"
0.99,0.279707005822026,"LSS likelihood","original"
1,0.274341869870797,"LSS likelihood","original"
1.01,0.269102831299888,"LSS likelihood","original"
1.02,0.263987009482823,"LSS likelihood","original"
1.03,0.258991556979007,"LSS likelihood","original"
1.04,0.254113662565552,"LSS likelihood","original"
1.05,0.2493505538791,"LSS likelihood","original"
1.06,0.244699499699875,"LSS likelihood","original"
1.07,0.240157811907873,"LSS likelihood","original"
1.08,0.235722847139177,"LSS likelihood","original"
1.09,0.23139200816833,"LSS likelihood","original"
1.1,0.227162745040933,"LSS likelihood","original"
1.11,0.223032555978855,"LSS likelihood","original"
1.12,0.218998988078841,"LSS likelihood","original"
1.13,0.215059637823731,"LSS likelihood","original"
1.14,0.211212151424122,"LSS likelihood","original"
1.15,0.207454225006903,"LSS likelihood","original"
1.16,0.20378360466585,"LSS likelihood","original"
1.17,0.200198086388305,"LSS likelihood","original"
1.18,0.196695515870844,"LSS likelihood","original"
1.19,0.193273788235799,"LSS likelihood","original"
1.2,0.189930847659581,"LSS likelihood","original"
1.21,0.186664686922831,"LSS likelihood","original"
1.22,0.183473346891596,"LSS likelihood","original"
1.23,0.180354915937977,"LSS likelihood","original"
1.24,0.177307529307975,"LSS likelihood","original"
1.25,0.174329368443581,"LSS likelihood","original"
1.26,0.171418660265574,"LSS likelihood","original"
1.27,0.168573676422901,"LSS likelihood","original"
1.28,0.165792732513985,"LSS likelihood","original"
1.29,0.163074187284848,"LSS likelihood","original"
1.3,0.160416441808451,"LSS likelihood","original"
1.31,0.157817938649269,"LSS likelihood","original"
1.32,0.155277161016731,"LSS likelihood","original"
1.33,0.152792631910783,"LSS likelihood","original"
1.34,0.150362913262537,"LSS likelihood","original"
1.35,0.14798660507266,"LSS likelihood","original"
1.36,0.145662344549872,"LSS likelihood","original"
1.37,0.143388805251701,"LSS likelihood","original"
1.38,0.141164696229363,"LSS likelihood","original"
1.39,0.138988761178486,"LSS likelihood","original"
1.4,0.136859777597154,"LSS likelihood","original"
1.41,0.134776555952583,"LSS likelihood","original"
1.42,0.132737938857604,"LSS likelihood","original"
1.43,0.130742800257941,"LSS likelihood","original"
1.44,0.128790044631156,"LSS likelihood","original"
1.45,0.126878606198037,"LSS likelihood","original"
1.46,0.125007448147033,"LSS likelihood","original"
1.47,0.123175561872287,"LSS likelihood","original"
1.48,0.121381966225723,"LSS likelihood","original"
1.49,0.119625706783529,"LSS likelihood","original"
1.5,0.117905855127331,"LSS likelihood","original"
1.51,0.116221508140273,"LSS likelihood","original"
1.52,0.114571787318164,"LSS likelihood","original"
1.53,0.112955838095783,"LSS likelihood","original"
1.54,0.111372829188402,"LSS likelihood","original"
1.55,0.10982195194852,"LSS likelihood","original"
1.56,0.108302419737801,"LSS likelihood","original"
1.57,0.106813467314107,"LSS likelihood","original"
1.58,0.105354350233568,"LSS likelihood","original"
1.59,0.103924344267531,"LSS likelihood","original"
1.6,0.102522744834248,"LSS likelihood","original"
1.61,0.101148866445124,"LSS likelihood","original"
1.62,0.0998020421653443,"LSS likelihood","original"
1.63,0.0984816230886503,"LSS likelihood","original"
1.64,0.0971869778260644,"LSS likelihood","original"
1.65,0.0959174920083162,"LSS likelihood","original"
1.66,0.094672567801727,"LSS likelihood","original"
1.67,0.0934516234373051,"LSS likelihood","original"
1.68,0.0922540927527878,"LSS likelihood","original"
1.69,0.0910794247473701,"LSS likelihood","original"
1.7,0.0899270831488482,"LSS likelihood","original"
1.71,0.0887965459929082,"LSS likelihood","original"
1.72,0.0876873052142888,"LSS likelihood","original"
1.73,0.0865988662495414,"LSS likelihood","original"
1.74,0.0855307476511137,"LSS likelihood","original"
1.75,0.084482480712488,"LSS likelihood","original"
1.76,0.0834536091040972,"LSS likelihood","original"
1.77,0.0824436885197495,"LSS likelihood","original"
1.78,0.0814522863332973,"LSS likelihood","original"
1.79,0.0804789812652803,"LSS likelihood","original"
1.8,0.0795233630592874,"LSS likelihood","original"
1.81,0.0785850321677725,"LSS likelihood","original"
1.82,0.077663599447076,"LSS likelihood","original"
1.83,0.0767586858613984,"LSS likelihood","original"
1.84,0.0758699221954786,"LSS likelihood","original"
1.85,0.0749969487757441,"LSS likelihood","original"
1.86,0.0741394151996823,"LSS likelihood","original"
1.87,0.0732969800732148,"LSS likelihood","original"
1.88,0.0724693107558398,"LSS likelihood","original"
1.89,0.0716560831133226,"LSS likelihood","original"
1.9,0.0708569812777135,"LSS likelihood","original"
1.91,0.0700716974144896,"LSS likelihood","original"
1.92,0.0692999314966029,"LSS likelihood","original"
1.93,0.068541391085239,"LSS likelihood","original"
1.94,0.0677957911170858,"LSS likelihood","original"
1.95,0.0670628536979246,"LSS likelihood","original"
1.96,0.0663423079023483,"LSS likelihood","original"
1.97,0.0656338895794323,"LSS likelihood","original"
1.98,0.0649373411641757,"LSS likelihood","original"
1.99,0.0642524114945403,"LSS likelihood","original"
2,0.0635788556339215,"LSS likelihood","original"
2.01,0.0629164346988844,"LSS likelihood","original"
2.02,0.0622649156920087,"LSS likelihood","original"
2.03,0.0616240713396851,"LSS likelihood","original"
2.04,0.060993679934717,"LSS likelihood","original"
2.05,0.0603735251835757,"LSS likelihood","original"
2.06,0.0597633960581744,"LSS likelihood","original"
2.07,0.0591630866520159,"LSS likelihood","original"
2.08,0.0585723960405876,"LSS likelihood","original"
2.09,0.0579911281458684,"LSS likelihood","original"
2.1,0.057419091604825,"LSS likelihood","original"
2.11,0.0568560996417754,"LSS likelihood","original"
2.12,0.0563019699444975,"LSS likelihood","original"
2.13,0.0557565245439744,"LSS likelihood","original"
2.14,0.0552195896976593,"LSS likelihood","original"
2.15,0.0546909957761535,"LSS likelihood","original"
2.16,0.0541705771531956,"LSS likelihood","original"
2.17,0.0536581720988563,"LSS likelihood","original"
2.18,0.053153622675842,"LSS likelihood","original"
2.19,0.0526567746388155,"LSS likelihood","original"
2.2,0.052167477336633,"LSS likelihood","original"
2.21,0.0516855836174166,"LSS likelihood","original"
2.22,0.0512109497363697,"LSS likelihood","original"
2.23,0.0507434352662549,"LSS likelihood","original"
2.24,0.0502829030104495,"LSS likelihood","original"
2.25,0.0498292189185029,"LSS likelihood","original"
2.26,0.0493822520041173,"LSS likelihood","original"
2.27,0.0489418742654775,"LSS likelihood","original"
2.28,0.0485079606078615,"LSS likelihood","original"
2.29,0.0480803887684566,"LSS likelihood","original"
2.3,0.0476590392433186,"LSS likelihood","original"
2.31,0.0472437952164073,"LSS likelihood","original"
2.32,0.0468345424906344,"LSS likelihood","original"
2.33,0.046431169420863,"LSS likelihood","original"
2.34,0.0460335668488018,"LSS likelihood","original"
2.35,0.0456416280397295,"LSS likelihood","original"
2.36,0.0452552486210064,"LSS likelihood","original"
2.37,0.0448743265223052,"LSS likelihood","original"
2.38,0.0444987619175197,"LSS likelihood","original"
2.39,0.0441284571682932,"LSS likelihood","original"
2.4,0.0437633167691268,"LSS likelihood","original"
2.41,0.0434032472940085,"LSS likelihood","original"
2.42,0.0430481573445285,"LSS likelihood","original"
2.43,0.0426979574994284,"LSS likelihood","original"
2.44,0.0423525602655463,"LSS likelihood","original"
2.45,0.0420118800301123,"LSS likelihood","original"
2.46,0.0416758330143572,"LSS likelihood","original"
2.47,0.0413443372283941,"LSS likelihood","original"
2.48,0.0410173124273335,"LSS likelihood","original"
2.49,0.0406946800685989,"LSS likelihood","original"
2.5,0.0403763632704032,"LSS likelihood","original"
2.51,0.0400622867713544,"LSS likelihood","original"
2.52,0.039752376891158,"LSS likelihood","original"
2.53,0.0394465614923783,"LSS likelihood","original"
2.54,0.0391447699432361,"LSS likelihood","original"
2.55,0.038846933081404,"LSS likelihood","original"
2.56,0.0385529831787751,"LSS likelihood","original"
2.57,0.0382628539071769,"LSS likelihood","original"
2.58,0.0379764803049967,"LSS likelihood","original"
2.59,0.0376937987447024,"LSS likelihood","original"
2.6,0.0374147469012209,"LSS likelihood","original"
2.61,0.0371392637211594,"LSS likelihood","original"
2.62,0.0368672893928384,"LSS likelihood","original"
2.63,0.0365987653171164,"LSS likelihood","original"
2.64,0.0363336340789816,"LSS likelihood","original"
2.65,0.0360718394198896,"LSS likelihood","original"
2.66,0.035813326210827,"LSS likelihood","original"
2.67,0.0355580404260758,"LSS likelihood","original"
2.68,0.0353059291176632,"LSS likelihood","original"
2.69,0.0350569403904744,"LSS likelihood","original"
2.7,0.0348110233780119,"LSS likelihood","original"
2.71,0.0345681282187788,"LSS likelihood","original"
2.72,0.034328206033274,"LSS likelihood","original"
2.73,0.0340912089015773,"LSS likelihood","original"
2.74,0.0338570898415102,"LSS likelihood","original"
2.75,0.0336258027873545,"LSS likelihood","original"
2.76,0.0333973025691162,"LSS likelihood","original"
2.77,0.0331715448923147,"LSS likelihood","original"
2.78,0.032948486318287,"LSS likelihood","original"
2.79,0.0327280842449898,"LSS likelihood","original"
2.8,0.0325102968882862,"LSS likelihood","original"
2.81,0.0322950832637054,"LSS likelihood","original"
2.82,0.0320824031686588,"LSS likelihood","original"
2.83,0.0318722171651026,"LSS likelihood","original"
2.84,0.0316644865626343,"LSS likelihood","original"
2.85,0.0314591734020095,"LSS likelihood","original"
2.86,0.03125624043907,"LSS likelihood","original"
2.87,0.0310556511290685,"LSS likelihood","original"
2.88,0.0308573696113834,"LSS likelihood","original"
2.89,0.0306613606946085,"LSS likelihood","original"
2.9,0.0304675898420114,"LSS likelihood","original"
2.91,0.030276023157347,"LSS likelihood","original"
2.92,0.0300866273710206,"LSS likelihood","original"
2.93,0.0298993698265861,"LSS likelihood","original"
2.94,0.0297142184675752,"LSS likelihood","original"
2.95,0.0295311418246448,"LSS likelihood","original"
2.96,0.0293501090030372,"LSS likelihood","original"
2.97,0.0291710896703424,"LSS likelihood","original"
2.98,0.0289940540445548,"LSS likelihood","original"
2.99,0.0288189728824184,"LSS likelihood","original"
3,0.0286458174680497,"LSS likelihood","original"
3.01,0.028474559601834,"LSS likelihood","original"
3.02,0.0283051715895853,"LSS likelihood","original"
3.03,0.0281376262319649,"LSS likelihood","original"
3.04,0.0279718968141505,"LSS likelihood","original"
3.05,0.0278079570957494,"LSS likelihood","original"
3.06,0.0276457813009506,"LSS likelihood","original"
3.07,0.0274853441089079,"LSS likelihood","original"
3.08,0.0273266206443491,"LSS likelihood","original"
3.09,0.0271695864684043,"LSS likelihood","original"
3.1,0.0270142175696496,"LSS likelihood","original"
3.11,0.0268604903553586,"LSS likelihood","original"
3.12,0.0267083816429568,"LSS likelihood","original"
3.13,0.0265578686516747,"LSS likelihood","original"
3.14,0.0264089289943933,"LSS likelihood","original"
3.15,0.0262615406696776,"LSS likelihood","original"
3.16,0.0261156820539933,"LSS likelihood","original"
3.17,0.025971331894102,"LSS likelihood","original"
3.18,0.0258284692996297,"LSS likelihood","original"
3.19,0.0256870737358059,"LSS likelihood","original"
3.2,0.0255471250163666,"LSS likelihood","original"
3.21,0.0254086032966195,"LSS likelihood","original"
3.22,0.0252714890666648,"LSS likelihood","original"
3.23,0.0251357631447705,"LSS likelihood","original"
3.24,0.0250014066708953,"LSS likelihood","original"
3.25,0.0248684011003586,"LSS likelihood","original"
3.26,0.0247367281976502,"LSS likelihood","original"
3.27,0.0246063700303808,"LSS likelihood","original"
3.28,0.0244773089633641,"LSS likelihood","original"
3.29,0.0243495276528342,"LSS likelihood","original"
3.3,0.0242230090407875,"LSS likelihood","original"
3.31,0.0240977363494522,"LSS likelihood","original"
3.32,0.0239736930758788,"LSS likelihood","original"
3.33,0.0238508629866487,"LSS likelihood","original"
3.34,0.0237292301127018,"LSS likelihood","original"
3.35,0.023608778744273,"LSS likelihood","original"
3.36,0.0234894934259431,"LSS likelihood","original"
3.37,0.023371358951795,"LSS likelihood","original"
3.38,0.0232543603606762,"LSS likelihood","original"
3.39,0.0231384829315635,"LSS likelihood","original"
3.4,0.0230237121790279,"LSS likelihood","original"
3.41,0.0229100338487971,"LSS likelihood","original"
3.42,0.0227974339134136,"LSS likelihood","original"
3.43,0.0226858985679856,"LSS likelihood","original"
3.44,0.0225754142260294,"LSS likelihood","original"
3.45,0.0224659675153989,"LSS likelihood","original"
3.46,0.0223575452743039,"LSS likelihood","original"
3.47,0.0222501345474109,"LSS likelihood","original"
3.48,0.0221437225820277,"LSS likelihood","original"
3.49,0.022038296824368,"LSS likelihood","original"
