"dog_number","birth_date","death_mode","age","sex","group","tissues","comment","experiment","study","era_studyID","era_GroupID","dam","sire"
"61","1957-03-31","Euthanized for Non-Conformance","4153","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3",NULL,NULL
"62","1957-03-31","Euthanized for Non-Conformance","4510","M","7600","34","SAC.NON-CONFORMING
",NULL,"99","56","2",NULL,NULL
"63","1957-03-31","Radiation","2086","F","5500","24","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"64","1957-03-31","Radiation","2820","M","5500","22","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"65","1957-03-31","Radiation","2088","M","5500","22","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"66","1957-03-31","Control Sacrifice","2853","M","7600","19","SAC.FOR CONTROL MATL.
",NULL,"99","56","2",NULL,NULL
"67","1957-03-25","Euthanized for Disease","1215","F","220","18","BRONCHOPNEUMONIA
",NULL,"0","99","3",NULL,NULL
"68","1952-08-15","Age","4646","M","10","20","DETERMINATE
",NULL,"0","99","1",NULL,NULL
"69","1958-03-08","Radiation","1686","M","5500","15","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0","61","62"
"70","1952-09-15","Sacrificed Moribund","3861","M","10","12","LYMPHOSARCOMA
",NULL,"0","99","1",NULL,NULL
"71","1958-03-08","Radiation","1684","M","5500","12","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0","61","62"
"72","1958-03-08","Radiation","1684","M","5500","22","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0","61","62"
"73","1958-03-08","Euthanized for Non-Conformance","4206","M","210","34","SAC.NON-CONFORMING
",NULL,"0","99","2","61","62"
"74","1959-02-25","Age","3680","M","10","34","CARCINOMA-PROSTATE
",NULL,"0","99","1","67",NULL
"75","1959-02-25","Euthanized for Disease","524","F","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1","67",NULL
"76","1959-02-25","Euthanized for Non-Conformance","3779","M","10","35","SAC.NON-CONFORMING
",NULL,"0","99","1","67",NULL
"77","1952-10-03","Age","4491","M","7600","20","DETERMINATE
",NULL,"99","56","2",NULL,NULL
"78","1952-10-03","Age","4933","M","7600","35","CULL,EUTHANIZED
",NULL,"99","56","2",NULL,NULL
"79","1959-02-25","Transferred","1458","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","67",NULL
"80","1957-03-31","Radiation","2084","M","5500","24","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"81","1960-03-10","Sacrificed Moribund","3163","M","5500","56","SP-MALIG.SCHWAN./W
",NULL,"4","4","0","571","90"
"82","1960-04-03","Sacrificed Moribund","55","F","10","0","DETERMINATE
",NULL,"0","99","1","570","90"
"83","1960-04-03","Euthanized for Disease","110","M","10","9","BRONCHOPNEUMONIA
",NULL,"0","99","1","570","90"
"84","1960-04-03","Euthanized for Disease","101","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1","570","90"
"85","1960-04-03","Euthanized for Non-Conformance","3377","F","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","570","90"
"86","1960-04-11","Euthanized for Non-Conformance","3369","F","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","534","222"
"87","1960-04-11","Parturition","966","F","220","10","DYSTOCIA
",NULL,"0","99","3","534","222"
"88","1960-04-11","Transferred","1047","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","534","222"
"89","1960-04-11","Sacrificed Moribund","15","F","10","0","DETERMINATE
",NULL,"0","99","1","534","222"
"90","1953-01-01","Control Sacrifice","4058","M","10","13","SAC.FOR CONTROL MATL.
",NULL,"0","99","1",NULL,NULL
"91","1960-04-18","Euthanized for Disease","95","M","10","9","BRONCHOPNEUMONIA
",NULL,"0","99","1","47",NULL
"92","1960-04-18","Control Sacrifice","464","F","10","23","SAC.FOR CONTROL MATL.
",NULL,"0","99","1","47",NULL
"93","1960-04-18","Sacrificed Moribund","93","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1","47",NULL
"94","1960-04-18","Sacrificed Moribund","93","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1","47",NULL
"95","1960-04-18","Transferred","1040","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","47",NULL
"96","1960-04-18","Transferred","1040","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","47",NULL
"97","1960-04-18","Sacrificed Moribund","94","M","10","8","BRONCHOPNEUMONIA
",NULL,"0","99","1","47",NULL
"98","1960-04-18","Transferred","1395","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","47",NULL
"99","1960-04-18","Lost","1","U","10","0","MISSING
",NULL,"0","99","1","47",NULL
"100","1960-04-20","Experimental Sacrifice","707","F","5500","0","SACRIFICED
",NULL,"4","4","0","41","90"
"101","1960-04-20","Age","2862","F","5500","38","MAMMARY TUMORS
",NULL,"4","4","0","41","90"
"102","1960-04-20","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","41","90"
"103","1960-04-22","Experimental Sacrifice","503","F","7000","22","SAC.END OF EXP.
",NULL,"99","99","8","550",NULL
"104","1960-04-22","Euthanized for Non-Conformance","2751","M","210","34","SAC.NON-CONFORMING
",NULL,"0","99","2","550",NULL
"105","1960-04-22","Transferred","900","F","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1","550",NULL
"106","1960-04-22","Control Sacrifice","1407","F","220","14","SAC.IN COURSE OF EXP.
",NULL,"0","99","3","550",NULL
"107","1958-05-01","Radiation","1086","M","5500","21","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"108","1958-11-01","Transferred","613","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"109","1958-09-01","Control Sacrifice","1423","M","10","0","SAC.FOR CONTROL MATL.
",NULL,"0","99","1",NULL,NULL
"110","1958-08-01","Transferred","705","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"111","1958-10-01","Transferred","1480","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"112","1958-07-01","Radiation","794","M","5900","12","APLASTIC BONE MARROW
",NULL,"3","0","0",NULL,NULL
"113","1958-09-01","Transferred","1510","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"114","1958-11-01","Radiation","4030","M","5500","58","THYR.CA;SURG.SHOCK
",NULL,"4","4","0",NULL,NULL
"115","1958-08-01","Transferred","705","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"116","1958-10-01","Transferred","1063","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"117","1958-10-01","Control Sacrifice","1412","M","10","0","SAC.FOR CONTROL MATL.
",NULL,"0","99","1",NULL,NULL
"118","1958-10-01","Transferred","644","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"119","1958-10-01","Radiation","697","M","5900","12","APLASTIC BONE MARROW
",NULL,"3","0","0",NULL,NULL
"120","1958-08-01","Transferred","1124","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"121","1958-05-01","Radiation","1049","M","5500","28","HEMORRHAGIC DIATHESIS
",NULL,"4","4","0",NULL,NULL
"122","1958-08-01","Control Sacrifice","1315","M","10","0","SAC.IN COURSE OF EXP.
",NULL,"0","99","1",NULL,NULL
"123","1958-08-01","Transferred","1541","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"124","1958-10-01","Radiation","4293","M","5500","33","CHRONIC CYSTIC NEPHRITIS
",NULL,"4","4","0",NULL,NULL
"125","1958-09-01","Transferred","1510","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"126","1958-07-01","Transferred","1572","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"127","1958-11-01","Control Sacrifice","999","M","10","22","SAC.FOR CONTROL MATL.
",NULL,"0","99","1",NULL,NULL
"128","1958-10-01","Radiation","3363","M","5500","33","SUPPURATIVE PROSTATITIS
",NULL,"4","4","0",NULL,NULL
"129","1958-11-01","Radiation","681","M","5900","11","APLASTIC BONE MARROW
",NULL,"3","0","0",NULL,NULL
"130","1959-12-01","Control Sacrifice","590","M","10","23","SAC.FOR CONTROL MATL.
",NULL,"0","99","1",NULL,NULL
"131","1958-08-01","Transferred","1541","M","10","0","TRANS.WITHIN ANL
",NULL,"0","99","1",NULL,NULL
"132","1958-10-01","Radiation","696","M","5900","11","APL.BONE MARR;SEPT.
",NULL,"3","0","0",NULL,NULL
"133","1958-08-01","Sacrificed Moribund","694","M","10","0","PNEUMONIA
",NULL,"0","99","1",NULL,NULL
"134","1960-01-01","Sacrificed Moribund","165","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1",NULL,NULL
"135","1960-01-01","Transferred","187","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"136","1959-01-01","Sacrificed Moribund","536","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1",NULL,NULL
"137","1960-01-01","Transferred","187","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"138","1960-01-01","Euthanized for Disease","171","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1",NULL,NULL
"139","1960-01-01","Sacrificed Moribund","161","M","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1",NULL,NULL
"140","1960-01-01","Transferred","187","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"141","1959-12-01","Transferred","218","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"142","1960-02-01","Transferred","156","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"143","1960-02-01","Transferred","156","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"144","1960-02-01","Transferred","156","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"145","1960-01-01","Transferred","187","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"146","1960-01-01","Sacrificed Moribund","187","M","10","0","DETERMINATE
",NULL,"0","99","1",NULL,NULL
"147","1960-06-05","Experimental Sacrifice","1324","M","5100","20","SAC.END OF EXP.
","cobalt_fractionated","99","55","1","40",NULL
"148","1960-06-05","Experimental Sacrifice","1326","F","5100","19","SAC.END OF EXP.
","cobalt_fractionated","99","55","1","40",NULL
"149","1960-06-05","Experimental Sacrifice","1331","F","5100","13","SAC.END OF EXP.
","cobalt_fractionated","99","55","1","40",NULL
"150","1960-06-05","Experimental Sacrifice","491","F","5100","18","SAC.END OF EXP.
","cobalt_fractionated","99","55","1","40",NULL
"151","1960-06-05","Experimental Sacrifice","1382","F","5100","14","SAC.IN COURSE OF EXP.
","cobalt_fractionated","99","55","1","40",NULL
"152","1958-12-01","Accident","577","F","10","0","PHYSICAL TRAUMA
",NULL,"0","99","1",NULL,NULL
"153","1958-12-01","Experimental Sacrifice","3655","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"154","1959-01-01","Experimental Conditions","3402","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"155","1958-12-01","Experimental Conditions","3521","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"156","1958-11-01","Age","2433","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"157","1958-12-01","Transferred","583","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"158","1959-01-01","Transferred","552","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"159","1958-12-01","Transferred","583","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"160","1958-12-01","Transferred","583","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"161","1958-10-01","Lost","692","F","10","0","MISSING
",NULL,"0","99","1",NULL,NULL
"162","1958-12-01","Transferred","583","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"163","1958-12-01","Experimental Conditions","4075","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"164","1958-12-01","Transferred","583","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"165","1958-11-01","Euthanized for Disease","629","F","10","7","BRONCHOPNEUMONIA
",NULL,"0","99","1",NULL,NULL
"166","1958-12-01","Experimental Conditions","3660","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"167","1958-08-01","Experimental Conditions","4199","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"168","1958-08-01","Transferred","705","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"169","1958-11-01","Transferred","613","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1",NULL,NULL
"170","1958-11-01","Experimental Conditions","4028","F","300","0","CUSTODIAL
",NULL,"99","99","10",NULL,NULL
"171","1958-06-01","Sacrificed Moribund","738","F","10","0","DISTEMPER
",NULL,"0","99","1",NULL,NULL
"172","1960-07-17","Experimental Sacrifice","3538","M","7000","0","SAC.IN COURSE OF EXP.
",NULL,"99","99","8","38","90"
"173","1960-07-17","Experimental Sacrifice","3637","M","6000","34","SAC.IN COURSE OF EXP.
",NULL,"99","56","1","38","90"
"174","1960-07-17","Experimental Sacrifice","3651","M","6000","34","SAC.IN COURSE OF EXP.
",NULL,"99","56","1","38","90"
"175","1960-07-17","Euthanized for Disease","4","M","10","0","PNEUMONITIS
",NULL,"0","99","1","38","90"
"176","1960-08-22","Experimental Sacrifice","1256","F","5100","17","SAC.END OF EXP.
","cobalt_fractionated","99","55","1","43","73"
"177","1960-08-22","Experimental Sacrifice","1299","F","5100","14","SAC.IN COURSE OF EXP.
","cobalt_fractionated","99","55","1","43","73"
"178","1960-08-22","Experimental Sacrifice","1297","M","5100","16","SAC.IN COURSE OF EXP.
",NULL,"99","55","1","43","73"
"179","1960-08-22","Experimental Sacrifice","1305","M","5100","14","SAC.IN COURSE OF EXP.
",NULL,"99","55","1","43","73"
"180","1960-08-22","Euthanized for Disease","308","M","10","8","SAC.IN COURSE OF EXP.
",NULL,"0","99","1","43","73"
"181","1960-02-11","Transferred","1338","F","6000","0","TRANS.WITHIN ANL
",NULL,"99","56","1",NULL,NULL
"182","1960-02-11","Transferred","1338","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3",NULL,NULL
"183","1960-02-11","Radiation","1508","M","5900","22","HYPOPLASTIC BONE MARROW
",NULL,"3","0","0",NULL,NULL
"184","1960-02-11","Euthanized for Disease","338","F","10","9","DISTEMPER
",NULL,"0","99","1",NULL,NULL
"185","1959-06-18","Sacrificed Moribund","2781","F","220","33","PYOMETRA;MYOSITIS;CULL
",NULL,"0","99","3",NULL,NULL
"186","1959-06-18","Euthanized for Non-Conformance","3361","F","220","34","SAC.NON-CONFORMING
",NULL,"0","99","3",NULL,NULL
"187","1959-06-18","Sacrificed Moribund","3652","M","6400","60","SAC.IN COURSE OF EXP.
",NULL,"99","56","3",NULL,NULL
"188","1960-08-23","Experimental Sacrifice","1298","F","5100","15","SAC.IN COURSE OF EXP.
","cobalt_fractionated","99","55","1","45","73"
"189","1960-08-23","Experimental Sacrifice","1302","F","5100","14","SAC.IN COURSE OF EXP.
","cobalt_fractionated","99","55","1","45","73"
"190","1960-04-11","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","534","222"
"191","1960-08-23","Experimental Sacrifice","1302","F","5100","15","SAC.IN COURSE OF EXP.
","cobalt_fractionated","99","55","1","45","73"
"192","1960-08-23","Radiation","426","F","5100","13","BONE MARROW APLASIA
","cobalt_fractionated","99","55","1","45","73"
"193","1960-09-13","Experimental Sacrifice","3836","M","6000","4","SAC.IN COURSE OF EXP.
",NULL,"99","56","1","185","187"
"194","1960-09-13","less than 7 days old","4","M","10","21","PULMONARY EDEMA
",NULL,"0","99","1","185","187"
"195","1960-09-13","Sacrificed Moribund","8","F","10","0","DETERMINATE
",NULL,"0","99","1","185","187"
"196","1960-09-13","less than 7 days old","0","F","8400","22","STILLBORN
",NULL,"99","99","14","185","187"
"197","1960-09-13","less than 7 days old","0","F","8400","21","STILLBORN
",NULL,"99","99","14","185","187"
"198","1960-09-28","less than 7 days old","0","M","8400","0","STILLBORN
",NULL,"99","99","14","61","73"
"199","1960-09-28","less than 7 days old","0","F","8400","21","STILLBORN
",NULL,"99","99","14","61","73"
"200","1960-09-28","Euthanized for Non-Conformance","1968","F","7500","19","SAC.NON-CONFORMING
",NULL,"99","98","6","61","73"
"201","1960-09-28","Euthanized for Non-Conformance","1969","M","7500","19","SAC.NON-CONFORMING
",NULL,"99","98","6","61","73"
"202","1960-09-30","Sacrificed Moribund","5629","M","100","24","SUPPURATIVE PROSTATITIS W/PERITONITIS
","control","0","99","4","5","72"
"203","1960-09-30","Transferred","1242","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","5","72"
"204","1960-09-30","Euthanized for Non-Conformance","3198","F","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","5","72"
"205","1960-09-30","Experimental Conditions","3639","F","7100","0","MYODEGENERATION
",NULL,"99","98","3","5","72"
"206","1960-09-30","Experimental Sacrifice","3826","F","7100","1","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","5","72"
"207","1960-10-01","less than 7 days old","0","M","8400","21","STILLBORN
",NULL,"99","99","14","42","73"
"208","1960-10-01","less than 7 days old","0","F","8400","21","STILLBORN
",NULL,"99","99","14","42","73"
"209","1960-10-01","Experimental Sacrifice","3825","F","7100","1","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","42","73"
"210","1960-10-01","Experimental Sacrifice","3741","F","7100","0","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","42","73"
"211","1960-10-01","Experimental Sacrifice","3741","F","7100","0","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","42","73"
"212","1960-10-02","less than 7 days old","5","F","10","21","PNEUMONIA
",NULL,"0","99","1","186","187"
"213","1960-10-02","Euthanized for Non-Conformance","1972","F","220","19","SAC.NON-CONFORMING
",NULL,"0","99","3","186","187"
"214","1960-10-02","Control Sacrifice","423","M","10","24","SAC.FOR CONTROL MATL.
",NULL,"0","99","1","186","187"
"215","1960-10-02","Sacrificed Moribund","3568","M","6000","0","SAC.I131
",NULL,"99","56","1","186","187"
"216","1960-10-02","Euthanized for Non-Conformance","1975","M","7500","19","SAC.NON-CONFORMING
",NULL,"99","98","6","186","187"
"217","1960-10-12","less than 7 days old","0","M","8400","21","STILLBORN
",NULL,"99","99","14","49","73"
"218","1960-10-12","Experimental Sacrifice","3730","F","7100","0","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","49","73"
"219","1960-10-12","Euthanized for Disease","2745","M","7200","33","ANGIOSARCOMA-SPLEEN
",NULL,"99","54","1","49","73"
"220","1960-10-12","Age","4804","M","100","24","BUCCAL MUCOSA TUMOR W/METS
","control","0","99","4","49","73"
"221","1960-10-12","Experimental Sacrifice","3731","M","7100","0","SAC.IN COURSE OF EXP.
",NULL,"99","98","3","49","73"
"222","1958-10-21","Euthanized for Non-Conformance","2680","M","7500","19","SAC.NON-CONFORMING
",NULL,"99","98","6",NULL,NULL
"223","1960-10-18","less than 7 days old","3","F","10","0","PNEUMONIA
",NULL,"0","99","1","4","222"
"224","1960-10-18","Sacrificed Moribund","8","M","10","20","AC.DIARRHEA
",NULL,"0","99","1","4","222"
"225","1960-11-04","Transferred","2449","F","220","0","TRANS.WITHIN ANL
",NULL,"0","99","3","570","73"
"226","1960-11-04","Euthanized for Non-Conformance","3163","F","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","570","73"
"227","1960-11-04","less than 7 days old","1","M","10","7","INTEST.HERNIA/OBSTRUCT.
",NULL,"0","99","1","570","73"
"228","1960-11-19","less than 7 days old","1","M","10","1","CONGENITAL ANOMALY
",NULL,"0","99","1","59","90"
"229","1960-11-20","Transferred","2676","F","220","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","3","550","187"
