Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
2013-1-11|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:0.37,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 10 mGy/d accumulated organdose 5.9±1.1 Gy|53 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-12|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:0.93,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 24 mGy/d accumulated organdose 11.5±2.7 Gy|60 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-13|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:1.85,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 48 mGy/d accumulated organdose 19.7±3.1 Gy|60 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-14|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:3.7,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 96 mGy/d accumulated organdose 24.6±4.9Gy|38 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-15|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:9.25,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 240 mGy/d accumulated organdose 38.8±8.5 Gy|45 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-16|n/a,n/a|Sequence:1, Age:70,Type:none (controls),Quantity:0,Unit:megabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:n/a|51 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-17|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:8.69,Unit:megabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 0.2 mGy/d accumulated organdose 0.17±0.03 Gy|55 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-18|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:34.8,Unit:megabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 0.9 mGy/d accumulated organdose 0.71±0.13 Gy|58 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-19|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:139,Unit:megabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 3.6 mGy/d accumulated organdose 2.62±0.41Gy|56 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
		
