Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
19-17-14|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:92.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-15|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:46.3,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-16|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:23.2,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-17|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:165.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-18|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-19|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-20|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:Injection, intravenous, Remarks:nitric acid|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-21|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:166.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-22|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-23|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-24|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:Injection, intravenous, Remarks:nitric acid|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-25|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:92.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-26|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:46.3,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-27|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:23.2,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-28|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:165.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-29|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-30|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-31|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:Injection, intravenous, Remarks:nitric acid|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-32|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:166.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|70 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-33|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|70 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-34|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|67 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-35|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:Injection, intravenous, Remarks:nitric acid|66 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
		
